time_s,device_timestamp_ns,packet_timestamp_ns,packet_id,sample_index,host_monotonic_ns,host_time_utc,timestamp_method,gyro_x_dps,gyro_y_dps,gyro_z_dps
5.759615385,842371884163823843,842371886029208458,3,0,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.6600000113248825,1.0500000044703484,-1.1900000050663948
5.778846154,842371884183054612,842371886029208458,3,1,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.5900000110268593,1.0500000044703484,-1.4000000059604645
5.798076923,842371884202285381,842371886029208458,3,2,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.450000010430813,1.4000000059604645,-1.3300000056624413
5.817307692,842371884221516150,842371886029208458,3,3,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.3800000101327896,2.0300000086426735,-1.1200000047683716
5.836538462,842371884240746920,842371886029208458,3,4,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.3800000101327896,2.0300000086426735,-1.1900000050663948
5.855769231,842371884259977689,842371886029208458,3,5,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.3800000101327896,1.6100000068545341,-1.3300000056624413
5.875,842371884279208458,842371886029208458,3,6,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.3100000098347664,1.4700000062584877,-1.4000000059604645
5.894230769,842371884298439227,842371886029208458,3,7,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.1000000089406967,1.4000000059604645,-1.3300000056624413
5.913461538,842371884317669996,842371886029208458,3,8,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-1.890000008046627,1.4000000059604645,-1.260000005364418
5.932692308,842371884336900766,842371886029208458,3,9,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-1.890000008046627,1.6100000068545341,-1.1900000050663948
5.951923077,842371884356131535,842371886029208458,3,10,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.0300000086426735,1.6100000068545341,-1.260000005364418
5.971153846,842371884375362304,842371886029208458,3,11,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.1000000089406967,1.4700000062584877,-1.3300000056624413
5.990384615,842371884394593073,842371886029208458,3,12,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.240000009536743,1.540000006556511,-1.4000000059604645
6.009615385,842371884413823843,842371886029208458,3,13,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.3100000098347664,1.7500000074505806,-1.3300000056624413
6.028846154,842371884433054612,842371886029208458,3,14,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.3100000098347664,1.6800000071525574,-1.1900000050663948
6.048076923,842371884452285381,842371886029208458,3,15,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.240000009536743,1.540000006556511,-1.1900000050663948
6.067307692,842371884471516150,842371886029208458,3,16,59811687000000,2026-09-10T16:10:41.106908+00:00,nominal_first,-2.240000009536743,1.260000005364418,-1.260000005364418
