time_s,device_timestamp_ns,packet_timestamp_ns,packet_id,sample_index,host_monotonic_ns,host_time_utc,timestamp_method,gyro_x_dps,gyro_y_dps,gyro_z_dps
0.000338602,842384350731218436,842384352942756898,78,0,,,nominal_first,-2.520000010728836,1.260000005364418,-0.9800000041723251
0.019569372,842384350750449206,842384352942756898,78,1,,,nominal_first,-2.240000009536743,1.6800000071525574,-1.1200000047683716
0.038800141,842384350769679975,842384352942756898,78,2,,,nominal_first,-2.3100000098347664,2.17000000923872,-1.1900000050663948
0.05803091,842384350788910744,842384352942756898,78,3,,,nominal_first,-2.6600000113248825,2.1000000089406967,-1.260000005364418
0.077261679,842384350808141513,842384352942756898,78,4,,,nominal_first,-2.5900000110268593,2.17000000923872,-1.260000005364418
0.096492449,842384350827372283,842384352942756898,78,5,,,nominal_first,-2.450000010430813,1.8200000077486038,-1.4000000059604645
0.115723218,842384350846603052,842384352942756898,78,6,,,nominal_first,-2.520000010728836,1.6800000071525574,-1.4700000062584877
0.134953987,842384350865833821,842384352942756898,78,7,,,nominal_first,-2.7300000116229057,1.890000008046627,-1.4700000062584877
0.154184756,842384350885064590,842384352942756898,78,8,,,nominal_first,-2.7300000116229057,2.240000009536743,-1.4000000059604645
0.173415526,842384350904295360,842384352942756898,78,9,,,nominal_first,-2.520000010728836,2.240000009536743,-1.6100000068545341
0.192646295,842384350923526129,842384352942756898,78,10,,,nominal_first,-2.17000000923872,1.6100000068545341,-1.7500000074505806
0.211877064,842384350942756898,842384352942756898,78,11,,,nominal_first,-2.3800000101327896,0.630000002682209,-1.4700000062584877
0.231107833,842384350961987667,842384352942756898,78,12,,,nominal_first,-2.450000010430813,0.630000002682209,-1.3300000056624413
0.250338602,842384350981218436,842384352942756898,78,13,,,nominal_first,-2.450000010430813,1.260000005364418,-1.260000005364418
0.269569372,842384351000449206,842384352942756898,78,14,,,nominal_first,-2.1000000089406967,1.540000006556511,-1.4000000059604645
0.288800141,842384351019679975,842384352942756898,78,15,,,nominal_first,-2.1000000089406967,1.0500000044703484,-1.540000006556511
0.30803091,842384351038910744,842384352942756898,78,16,,,nominal_first,-2.3800000101327896,0.5600000023841858,-1.4700000062584877
