activity,start_time_s,end_time_s,block_id
household,1.501020381,6.501020381,0
stairs,6.501020381,10.501020381,0
unknown,10.501020381,13.501020381,0
other_movement,13.501020381,15.501020381,0
stationary,15.501020381,16.501020381,0
pull-up,16.501020381,35.501020381,0
stairs,35.501020381,38.501020381,0
household,38.501020381,48.501020381,0
stationary,48.501020381,58.501020381,0
household,58.501020381,64.50102038099999,0
stationary,64.50102038099999,75.501020381,0
