time_s,device_timestamp_ns,packet_timestamp_ns,packet_id,sample_index,host_monotonic_ns,host_time_utc,timestamp_method,gyro_x_dps,gyro_y_dps,gyro_z_dps
0.0,842370072773240458,842370075369394304,39,0,,,nominal_first,-1.6100000068545341,2.3100000098347664,-1.1900000050663948
0.019230769,842370072792471227,842370075369394304,39,1,,,nominal_first,-2.1000000089406967,3.0100000128149986,-1.260000005364418
0.038461538,842370072811701996,842370075369394304,39,2,,,nominal_first,-2.5900000110268593,1.9600000083446503,-1.3300000056624413
0.057692308,842370072830932766,842370075369394304,39,3,,,nominal_first,-2.5900000110268593,1.3300000056624413,-1.1200000047683716
0.076923077,842370072850163535,842370075369394304,39,4,,,nominal_first,-1.8200000077486038,1.9600000083446503,-0.8400000035762787
0.096153846,842370072869394304,842370075369394304,39,5,,,nominal_first,-1.7500000074505806,2.800000011920929,-0.7000000029802322
0.115384615,842370072888625073,842370075369394304,39,6,,,nominal_first,-2.17000000923872,1.8200000077486038,-1.1900000050663948
0.134615384,842370072907855842,842370075369394304,39,7,,,nominal_first,-2.6600000113248825,0.3500000014901161,-1.7500000074505806
0.153846154,842370072927086612,842370075369394304,39,8,,,nominal_first,-2.520000010728836,-0.07000000029802322,-1.6100000068545341
0.173076923,842370072946317381,842370075369394304,39,9,,,nominal_first,-1.9600000083446503,1.0500000044703484,-1.0500000044703484
0.192307692,842370072965548150,842370075369394304,39,10,,,nominal_first,-1.6800000071525574,2.3100000098347664,-0.5600000023841858
0.211538461,842370072984778919,842370075369394304,39,11,,,nominal_first,-1.7500000074505806,2.6600000113248825,-0.7000000029802322
0.230769231,842370073004009689,842370075369394304,39,12,,,nominal_first,-2.1000000089406967,1.7500000074505806,-1.1900000050663948
0.25,842370073023240458,842370075369394304,39,13,,,nominal_first,-2.240000009536743,0.9100000038743019,-1.4700000062584877
0.269230769,842370073042471227,842370075369394304,39,14,,,nominal_first,-2.17000000923872,1.1200000047683716,-1.3300000056624413
0.288461538,842370073061701996,842370075369394304,39,15,,,nominal_first,-1.9600000083446503,1.9600000083446503,-1.1900000050663948
0.307692308,842370073080932766,842370075369394304,39,16,,,nominal_first,-2.1000000089406967,2.0300000086426735,-1.4000000059604645
0.326923077,842370073100163535,842370075369394304,39,17,,,nominal_first,-2.3800000101327896,1.4700000062584877,-1.4000000059604645
0.346153846,842370073119394304,842370075369394304,39,18,,,nominal_first,-2.520000010728836,1.0500000044703484,-1.1900000050663948
0.365384615,842370073138625073,842370075369394304,39,19,,,nominal_first,-2.450000010430813,0.7700000032782555,-1.0500000044703484
0.384615384,842370073157855842,842370075369394304,39,20,,,nominal_first,-2.240000009536743,1.1200000047683716,-1.0500000044703484
0.403846154,842370073177086612,842370075369394304,39,21,,,nominal_first,-2.0300000086426735,1.6800000071525574,-1.260000005364418
0.423076923,842370073196317381,842370075369394304,39,22,,,nominal_first,-1.9600000083446503,1.6800000071525574,-1.1900000050663948
0.442307692,842370073215548150,842370075369394304,39,23,,,nominal_first,-1.9600000083446503,1.3300000056624413,-1.1900000050663948
0.461538461,842370073234778919,842370075369394304,39,24,,,nominal_first,-2.1000000089406967,1.0500000044703484,-1.1900000050663948
0.480769231,842370073254009689,842370075369394304,39,25,,,nominal_first,-2.17000000923872,1.0500000044703484,-1.1200000047683716
0.5,842370073273240458,842370075369394304,39,26,,,nominal_first,-2.240000009536743,1.4000000059604645,-1.0500000044703484
0.519230769,842370073292471227,842370075369394304,39,27,,,nominal_first,-2.17000000923872,1.6800000071525574,-1.1900000050663948
0.538461538,842370073311701996,842370075369394304,39,28,,,nominal_first,-2.3100000098347664,1.7500000074505806,-1.0500000044703484
0.557692308,842370073330932766,842370075369394304,39,29,,,nominal_first,-2.240000009536743,1.4700000062584877,-1.0500000044703484
0.576923077,842370073350163535,842370075369394304,39,30,,,nominal_first,-2.17000000923872,1.4000000059604645,-1.1200000047683716
0.596153846,842370073369394304,842370075369394304,39,31,,,nominal_first,-2.0300000086426735,1.4700000062584877,-1.1900000050663948
0.615384615,842370073388625073,842370075369394304,39,32,,,nominal_first,-2.240000009536743,1.4000000059604645,-1.1900000050663948
0.634615384,842370073407855842,842370075369394304,39,33,,,nominal_first,-2.0300000086426735,1.3300000056624413,-0.9100000038743019
0.653846154,842370073427086612,842370075369394304,39,34,,,nominal_first,-1.6800000071525574,1.6800000071525574,-0.9100000038743019
0.673076923,842370073446317381,842370075369394304,39,35,,,nominal_first,-1.4700000062584877,1.6800000071525574,-1.3300000056624413
0.692307692,842370073465548150,842370075369394304,39,36,,,nominal_first,-1.8200000077486038,1.6100000068545341,-1.4700000062584877
0.711538461,842370073484778919,842370075369394304,39,37,,,nominal_first,-2.240000009536743,1.1900000050663948,-1.4000000059604645
0.730769231,842370073504009689,842370075369394304,39,38,,,nominal_first,-2.5900000110268593,1.1200000047683716,-1.3300000056624413
0.75,842370073523240458,842370075369394304,39,39,,,nominal_first,-2.240000009536743,1.6100000068545341,-1.0500000044703484
0.769230769,842370073542471227,842370075369394304,39,40,,,nominal_first,-1.8200000077486038,2.1000000089406967,-0.9800000041723251
0.788461538,842370073561701996,842370075369394304,39,41,,,nominal_first,-1.8200000077486038,1.7500000074505806,-1.0500000044703484
0.807692308,842370073580932766,842370075369394304,39,42,,,nominal_first,-2.3100000098347664,1.0500000044703484,-1.0500000044703484
0.826923077,842370073600163535,842370075369394304,39,43,,,nominal_first,-2.5900000110268593,0.7700000032782555,-1.1200000047683716
0.846153846,842370073619394304,842370075369394304,39,44,,,nominal_first,-2.5900000110268593,0.9100000038743019,-1.1900000050663948
0.865384615,842370073638625073,842370075369394304,39,45,,,nominal_first,-2.240000009536743,1.6100000068545341,-1.1200000047683716
0.884615384,842370073657855842,842370075369394304,39,46,,,nominal_first,-1.9600000083446503,2.240000009536743,-0.9800000041723251
0.903846154,842370073677086612,842370075369394304,39,47,,,nominal_first,-1.9600000083446503,1.8200000077486038,-1.0500000044703484
0.923076923,842370073696317381,842370075369394304,39,48,,,nominal_first,-2.3800000101327896,0.7700000032782555,-1.260000005364418
0.942307692,842370073715548150,842370075369394304,39,49,,,nominal_first,-2.5900000110268593,0.21000000089406967,-1.4000000059604645
0.961538461,842370073734778919,842370075369394304,39,50,,,nominal_first,-2.3100000098347664,0.7700000032782555,-1.3300000056624413
0.980769231,842370073754009689,842370075369394304,39,51,,,nominal_first,-1.890000008046627,1.7500000074505806,-1.1900000050663948
1.0,842370073773240458,842370075369394304,39,52,,,nominal_first,-1.8200000077486038,2.240000009536743,-1.1900000050663948
1.019230769,842370073792471227,842370075369394304,39,53,,,nominal_first,-2.1000000089406967,2.17000000923872,-1.260000005364418
1.038461538,842370073811701996,842370075369394304,39,54,,,nominal_first,-2.450000010430813,1.6800000071525574,-1.260000005364418
1.057692308,842370073830932766,842370075369394304,39,55,,,nominal_first,-2.450000010430813,1.1900000050663948,-1.3300000056624413
1.076923077,842370073850163535,842370075369394304,39,56,,,nominal_first,-2.3800000101327896,0.7000000029802322,-1.260000005364418
1.096153846,842370073869394304,842370075369394304,39,57,,,nominal_first,-2.240000009536743,0.7000000029802322,-1.1900000050663948
1.115384615,842370073888625073,842370075369394304,39,58,,,nominal_first,-2.17000000923872,1.0500000044703484,-1.0500000044703484
1.134615384,842370073907855842,842370075369394304,39,59,,,nominal_first,-2.1000000089406967,1.260000005364418,-1.1200000047683716
1.153846154,842370073927086612,842370075369394304,39,60,,,nominal_first,-2.240000009536743,1.1900000050663948,-1.1200000047683716
1.173076923,842370073946317381,842370075369394304,39,61,,,nominal_first,-2.3100000098347664,1.0500000044703484,-1.1200000047683716
1.192307692,842370073965548150,842370075369394304,39,62,,,nominal_first,-2.3100000098347664,1.1900000050663948,-1.1200000047683716
1.211538461,842370073984778919,842370075369394304,39,63,,,nominal_first,-2.3800000101327896,1.260000005364418,-1.0500000044703484
1.230769231,842370074004009689,842370075369394304,39,64,,,nominal_first,-2.450000010430813,0.9800000041723251,-1.0500000044703484
1.25,842370074023240458,842370075369394304,39,65,,,nominal_first,-2.3100000098347664,0.630000002682209,-1.1900000050663948
1.269230769,842370074042471227,842370075369394304,39,66,,,nominal_first,-2.240000009536743,0.7000000029802322,-1.1900000050663948
1.288461538,842370074061701996,842370075369394304,39,67,,,nominal_first,-2.1000000089406967,1.1200000047683716,-1.0500000044703484
1.307692308,842370074080932766,842370075369394304,39,68,,,nominal_first,-2.240000009536743,1.3300000056624413,-1.1200000047683716
1.326923077,842370074100163535,842370075369394304,39,69,,,nominal_first,-2.3100000098347664,1.1200000047683716,-1.1900000050663948
1.346153846,842370074119394304,842370075369394304,39,70,,,nominal_first,-2.450000010430813,0.9800000041723251,-1.260000005364418
1.365384615,842370074138625073,842370075369394304,39,71,,,nominal_first,-2.3800000101327896,0.8400000035762787,-1.1900000050663948
1.384615384,842370074157855842,842370075369394304,39,72,,,nominal_first,-2.3100000098347664,0.5600000023841858,-1.1200000047683716
1.403846154,842370074177086612,842370075369394304,39,73,,,nominal_first,-2.17000000923872,0.5600000023841858,-1.1900000050663948
1.423076923,842370074196317381,842370075369394304,39,74,,,nominal_first,-2.0300000086426735,0.9100000038743019,-1.0500000044703484
1.442307692,842370074215548150,842370075369394304,39,75,,,nominal_first,-2.17000000923872,1.1900000050663948,-1.0500000044703484
1.461538461,842370074234778919,842370075369394304,39,76,,,nominal_first,-2.3100000098347664,0.9100000038743019,-1.0500000044703484
1.480769231,842370074254009689,842370075369394304,39,77,,,nominal_first,-2.450000010430813,0.630000002682209,-1.1900000050663948
1.5,842370074273240458,842370075369394304,39,78,,,nominal_first,-2.3100000098347664,0.8400000035762787,-1.1900000050663948
1.519230769,842370074292471227,842370075369394304,39,79,,,nominal_first,-2.240000009536743,0.9800000041723251,-1.1200000047683716
1.538461538,842370074311701996,842370075369394304,39,80,,,nominal_first,-2.3100000098347664,0.8400000035762787,-1.1200000047683716
1.557692308,842370074330932766,842370075369394304,39,81,,,nominal_first,-2.450000010430813,0.7000000029802322,-1.1200000047683716
1.576923077,842370074350163535,842370075369394304,39,82,,,nominal_first,-2.450000010430813,0.7000000029802322,-1.1900000050663948
1.596153846,842370074369394304,842370075369394304,39,83,,,nominal_first,-2.240000009536743,0.9100000038743019,-1.1900000050663948
1.615384615,842370074388625073,842370075369394304,39,84,,,nominal_first,-2.240000009536743,0.9800000041723251,-1.1900000050663948
1.634615384,842370074407855842,842370075369394304,39,85,,,nominal_first,-2.1000000089406967,0.7700000032782555,-1.1900000050663948
1.653846154,842370074427086612,842370075369394304,39,86,,,nominal_first,-2.240000009536743,0.630000002682209,-1.260000005364418
1.673076923,842370074446317381,842370075369394304,39,87,,,nominal_first,-2.3800000101327896,0.7000000029802322,-1.1900000050663948
1.692307692,842370074465548150,842370075369394304,39,88,,,nominal_first,-2.450000010430813,0.9100000038743019,-1.0500000044703484
1.711538461,842370074484778919,842370075369394304,39,89,,,nominal_first,-2.17000000923872,0.8400000035762787,-1.0500000044703484
